CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
09/06/2017,5:26:00 AM,1A,4200 AUDREY AV,HOMICIDE,Outside,FIREARM,SOUTHERN,Brooklyn,-76.60513,39.22963,ALLEY,1
09/05/2017,11:42:00 PM,1A,2300 E FEDERAL ST,HOMICIDE,Outside,FIREARM,EASTERN,Broadway East,-76.58569,39.30888,STREET,1
09/04/2017,9:28:00 AM,1O,1000 BRENTWOOD AV,HOMICIDE,Outside,OTHER,EASTERN,Johnston Square,-76.60911,39.30133,PUBLIC AREA,1
09/04/2017,3:16:00 PM,1K,1400 E OLIVER ST,HOMICIDE,Outside,KNIFE,EASTERN,Oliver,-76.59961,39.30731,STREET,1
09/04/2017,12:32:00 PM,1A,4200 NICHOLAS AV,HOMICIDE,Outside,FIREARM,NORTHEASTERN,Belair-Edison,-76.56403,39.3292,STREET,1
09/04/2017,10:00:00 AM,1A,1800 E LAFAYETTE AV,HOMICIDE,Outside,FIREARM,EASTERN,Broadway East,-76.59286,39.31077,STREET,1
09/02/2017,9:10:00 PM,1A,3400 HARMONY CT,HOMICIDE,Outside,FIREARM,SOUTHEASTERN,Canton,-76.56827,39.28202,STREET,1
09/02/2017,6:08:00 PM,1A,1200 E LAFAYETTE AV,HOMICIDE,Outside,FIREARM,EASTERN,Oliver,-76.60246,39.31038,STREET,1
08/30/2017,11:20:00 AM,1A,500 RICHWOOD AV,HOMICIDE,Outside,FIREARM,NORTHERN,Richnor Springs,-76.60955,39.34705,STREET,1
08/30/2017,11:20:00 AM,1A,500 RICHWOOD AV,HOMICIDE,Outside,FIREARM,NORTHERN,Richnor Springs,-76.60955,39.34705,STREET,1
08/30/2017,1:57:00 PM,1A,700 KEVIN RD,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Rognel Heights,-76.68665,39.29619,STREET,1
08/30/2017,1:30:00 AM,1A,100 S HIGHLAND AV,HOMICIDE,Outside,FIREARM,SOUTHEASTERN,Patterson Park Neighborho,-76.56937,39.29125,STREET,1
08/28/2017,10:05:00 PM,1O,2400 E MONUMENT ST,HOMICIDE,Outside,OTHER,EASTERN,Milton-Montford,-76.58362,39.29882,STREET,1
08/26/2017,2:59:00 AM,1K,1000 HILLEN ST,HOMICIDE,Outside,KNIFE,EASTERN,Penn-Fallsway,-76.60739,39.29554,STREET,1
08/25/2017,8:55:00 PM,1A,200 COLLINS AV,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Irvington,-76.68338,39.28292,STREET,1
08/25/2017,10:30:00 PM,1A,200 N BOND ST,HOMICIDE,Outside,FIREARM,SOUTHEASTERN,Dunbar-Broadway,-76.59594,39.29366,STREET,1
08/22/2017,12:30:00 PM,1A,6600 WALTHER AV,HOMICIDE,Outside,FIREARM,NORTHEASTERN,Rosemont East,-76.53985,39.35699,STREET,1
08/22/2017,12:00:00 AM,1A,500 N FREMONT AV,HOMICIDE,Outside,FIREARM,WESTERN,Harlem Park,-76.63196,39.29448,STREET,1
08/21/2017,9:00:00 AM,1A,3400 COTTAGE AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Park Circle,-76.65735,39.32754,STREET,1
08/19/2017,9:40:00 AM,1A,2700 THE ALAMEDA,HOMICIDE,Outside,FIREARM,NORTHEASTERN,Coldstream Homestead Mont,-76.59128,39.32156,STREET,1
08/19/2017,11:46:00 PM,1A,1700 N DURHAM ST,HOMICIDE,Outside,FIREARM,EASTERN,Broadway East,-76.59229,39.31007,STREET,1
